keyword_searched,dc_title,dc_creator,dc_publisher,dc_date,dc_type,dc_format,dc_language,dc_source,dc_relation,dc_description,ark,gallica_url,year,journal_title
variole,"Le Mouvement médical : journal de l'enseignement médical, pharmaceutique et vétérinaire",,Asselin (Paris),1868-10-25,texte,,fre,"Bibliothèque de l'Académie nationale de médecine, 2016-180304",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32820608v,25 octobre 1868,https://gallica.bnf.fr/ark:/12148/bpt6k9742015p,https://gallica.bnf.fr/ark:/12148/bpt6k9742015p,1868,"Bibliothèque de l'Académie nationale de médecine, 2016-180304"
épidémie,"Moniteur algérien : journal officiel de la colonie : annonces légales, judiciaires, administratives, commerciales et maritimes",Algérie (Période coloniale). Auteur du texte,[s.n.] (Alger),1852-07-20,texte,,fre,"Bibliothèque nationale de France, département Droit, économie, politique, JO-3026",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb328185387,20 juillet 1852,https://gallica.bnf.fr/ark:/12148/bpt6k48894196,https://gallica.bnf.fr/ark:/12148/bpt6k48894196,1852,"Bibliothèque nationale de France, département Droit, économie, politique, JO-3026"
variole,"La Clinique vétérinaire : journal de médecine et de chirurgie comparées, consacré aux progrès des sciences zooïatriques et des sciences médicales en général / publié par Urbain Leblanc, médecin-vétérinaire",,[U. Leblanc] (Paris),1864,texte,Nombre total de vues : 8020,fre,"Ecole nationale vétérinaire d'Alfort, 2012-319781",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb327434773,1864,https://gallica.bnf.fr/ark:/12148/bpt6k6467339w,https://gallica.bnf.fr/ark:/12148/bpt6k6467339w,1864,"Ecole nationale vétérinaire d'Alfort, 2012-319781"
épidémie,Bulletin de la médecine et de la pharmacie militaires,,[s.n.] (Paris),1868-06-01,texte,,fre,"Bibliothèque nationale de France, département Sciences et techniques, 8-T38-7",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34423337x,01 juin 1868,https://gallica.bnf.fr/ark:/12148/bpt6k6397346m,https://gallica.bnf.fr/ark:/12148/bpt6k6397346m,1868,"Bibliothèque nationale de France, département Sciences et techniques, 8-T38-7"
typhus,"L'Écho des montagnes : bulletin des intérêts moraux et matériels de l'arrondissement de Marvejols [""puis"" journal de Marvejols... ""ou"" journal administratif et judiciaire de l'arrondissement de Marvejols...]",,Théret (Marvejols),1860-09-09,texte,,fre,"Archives départementales de la Lozère, 1 PER 202",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32761675w,09 septembre 1860,https://gallica.bnf.fr/ark:/12148/bd6t5993111v,https://gallica.bnf.fr/ark:/12148/bd6t5993111v,1860,"Archives départementales de la Lozère, 1 PER 202"
contagion,Gazette médicale de Lyon,Société de médecine (Lyon). Auteur du texte,[s.n.] (Lyon),1867-07-07,texte,Nombre total de vues : 10570,fre,Bibliothèque nationale de France,Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb34368133v,07 juillet 1867,https://gallica.bnf.fr/ark:/12148/bpt6k6530507v,https://gallica.bnf.fr/ark:/12148/bpt6k6530507v,1867,Bibliothèque nationale de France
contagion,Recueil de médecine vétérinaire,,Gabon (Paris),1847-04-01,texte,Nombre total de vues : 108111,fre,"Ecole nationale vétérinaire d'Alfort, 2012-67831",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb375835704,01 avril 1847,https://gallica.bnf.fr/ark:/12148/bpt6k6276411n,https://gallica.bnf.fr/ark:/12148/bpt6k6276411n,1847,"Ecole nationale vétérinaire d'Alfort, 2012-67831"
typhus,Recueil de médecine vétérinaire,,Gabon (Paris),1865-11-01,texte,Nombre total de vues : 108111,fre,"Ecole nationale vétérinaire d'Alfort, 2012-67831",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb375835704,01 novembre 1865,https://gallica.bnf.fr/ark:/12148/bpt6k62426400,https://gallica.bnf.fr/ark:/12148/bpt6k62426400,1865,"Ecole nationale vétérinaire d'Alfort, 2012-67831"
variole,Rapport sur les vaccinations pratiquées en France ...,France. Comité central de vaccine. Auteur du texte,Imprimerie impériale (Paris),1857,texte,Nombre total de vues : 9788,fre,"Bibliothèque de l'Académie nationale de médecine, 2012-195998",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb32848237p,1857,https://gallica.bnf.fr/ark:/12148/bpt6k6333590t,https://gallica.bnf.fr/ark:/12148/bpt6k6333590t,1857,"Bibliothèque de l'Académie nationale de médecine, 2012-195998"
choléra,Le Courrier de l'Europe : journal politique et littéraire,,[s.n.] (Paris),1832-04-18,texte,,fre,"Bibliothèque nationale de France, département Droit, économie, politique, GR FOL-LC2-1277",Notice du catalogue : http://catalogue.bnf.fr/ark:/12148/cb327503779,18 avril 1832,https://gallica.bnf.fr/ark:/12148/bpt6k6765541r,https://gallica.bnf.fr/ark:/12148/bpt6k6765541r,1832,"Bibliothèque nationale de France, département Droit, économie, politique, GR FOL-LC2-1277"
